Date,Actual,ARIMA,Prophet,XGBoost,lstm_predictions
2015-01-23,3586,3843.991073949766,4505.539695834685,4101.6167,4243.072265625
2015-01-24,4840,4109.492000039465,4731.725761623184,4340.0894,4189.93994140625
2015-01-26,4781,4297.866037388844,5090.214034474795,5783.9785,4300.14794921875
2015-01-27,4806,4442.850049731509,4622.400782071521,4593.6255,4379.34521484375
2015-01-28,4310,4542.955878435499,4548.204093544032,4563.071,4445.9345703125
2015-01-29,5171,4622.801038253891,4496.312561210794,4506.7173,4437.05224609375
2015-01-30,5577,4675.317688453021,4844.606022265915,5205.362,4535.8115234375
2015-01-31,5363,4719.926500422365,5057.114728512589,4971.224,4663.98046875
2015-02-02,6038,4746.814337261058,5368.919397204045,5780.38,4740.77197265625
2015-02-03,4901,4772.334506484988,4869.85856811015,5691.9023,4885.92626953125
2015-02-04,4672,4785.447503883908,4760.437972978127,4775.4375,4857.3720703125
2015-02-05,4394,4800.600171037201,4670.3728360977775,4775.4375,4807.416015625
2015-02-06,5022,4806.335814837663,4978.585890562998,4924.8984,4734.44482421875
2015-02-07,4663,4815.832279729335,5150.1432747271265,5195.4604,4755.05126953125
2015-02-09,3965,4817.642121904752,5381.409049621138,4159.3784,4725.978515625
2015-02-10,3136,4824.0285937676035,4844.605031464019,3812.6033,4616.45556640625
2015-02-11,3735,4823.773737129199,4700.223705372328,3790.5962,4429.09716796875
2015-02-12,3900,4828.427350437878,4578.683269633149,3788.4143,4356.783203125
2015-02-13,4726,4827.110292498502,4859.498847388813,4356.5327,4319.0087890625
2015-02-14,5015,4830.776876865535,5008.210125353024,4986.4395,4390.36572265625
2015-02-16,4303,4828.93663994055,5208.7092741257575,5751.554,4481.86572265625
2015-02-17,4833,4832.021075297897,4664.305284518736,4572.7495,4466.51220703125
2015-02-18,4180,4829.946539490087,4517.5205805533005,4592.605,4520.60595703125
2015-02-19,4460,4832.669527805685,4398.632392039281,4480.439,4481.6396484375
2015-02-20,4651,4830.514608915105,4686.9070365652005,4896.617,4485.9609375
2015-02-21,4475,4832.997321818634,4847.5379301934445,4986.4395,4512.2138671875
2015-02-23,3598,4830.843153885062,5083.459227560694,4084.0176,4510.58056640625
2015-02-24,4054,4833.152939138875,4561.49269671133,3721.1868,4401.572265625
2015-02-25,3875,4831.041444079349,4439.505112755461,4005.3179,4372.54248046875
2015-02-26,4042,4833.216506915426,4347.141935870481,3889.3691,4326.673828125
2015-02-27,4708,4831.168515742797,4663.025056928004,4531.673,4311.064453125
2015-02-28,5289,4833.231248227432,4851.705301124834,4986.4395,4380.044921875
2015-03-02,5942,4831.256281565898,5142.567920186128,5751.554,4505.548828125
2015-03-03,5451,4833.220462698082,4646.335216675243,5626.7715,4686.59716796875
2015-03-04,5568,4831.322008162077,4548.22732811071,5224.5737,4769.7470703125
2015-03-05,4419,4833.196694536932,4477.437689040926,5069.582,4851.27197265625
2015-03-06,5397,4831.375052932436,4812.200578017658,4896.617,4770.67724609375
2015-03-07,4592,4833.166682449183,5016.74851793957,5235.332,4830.859375
2015-03-09,3701,4831.420501476281,5329.400985249453,4159.3784,4775.8896484375
2015-03-10,3805,4833.134032108338,4838.820562728186,3698.9714,4622.21142578125
2015-03-11,4170,4831.461131552443,4742.811408408587,3866.943,4516.12060546875
2015-03-12,3141,4833.100659006104,4670.6104443580725,4005.3179,4477.46826171875
2015-03-13,3725,4831.498473515115,5000.560545910147,4110.7275,4319.82763671875
2015-03-14,5225,4833.067567411354,5197.062765607711,4389.9224,4268.861328125
2015-03-16,5695,4831.533382918798,5484.862071732553,5751.554,4411.02294921875
2015-03-17,4806,4833.035270885979,4978.053799936268,5298.2124,4581.640625
2015-03-18,3858,4831.566349732839,4863.728534815128,4625.1626,4608.1806640625
2015-03-19,4748,4833.004019273832,4771.491070789704,4534.626,4512.05810546875
2015-03-20,4057,4831.597665344759,5080.069930619675,4812.803,4546.5888671875
2015-03-21,3909,4832.973921203623,5254.262294380517,4631.5024,4486.1728515625
2015-03-23,3565,4831.627512779157,5496.221324749139,3783.8818,4420.92041015625
2015-03-24,3547,4832.945010180318,4966.6662736429125,3729.273,4327.13134765625
2015-03-25,3531,4831.656015457237,4830.211110772227,3768.1702,4250.94580078125
2015-03-26,3932,4832.917280221149,4716.812880387382,3727.809,4188.76904296875
2015-03-27,4005,4831.6832635696655,5005.527852882318,4334.1064,4188.0908203125
2015-03-28,5208,4832.890705050326,5161.452534066932,4740.884,4195.84716796875
2015-03-30,6714,4831.709328360494,5372.700496468765,5751.554,4348.6943359375
2015-03-31,6206,4832.865248418749,4831.131270185531,6167.536,4655.8251953125
2015-04-01,6816,4831.734269882155,4685.112569714389,5743.6035,4839.20361328125
2015-04-02,6574,4832.840869633844,4564.7193083069205,6226.8535,5063.263671875
2015-04-04,6709,4831.758141223562,5003.342583936749,5558.412,5210.60693359375
2015-04-07,4163,4832.817526505056,4683.865700068605,5552.8213,5344.8173828125
2015-04-08,4194,4831.780990832221,4546.463126860365,3993.7031,5123.72119140625
2015-04-09,3467,4832.795176895719,4436.951630975809,3981.9363,4958.111328125
